 "topicLabel" , "courseURI" , "eventURI" , "resourceURI" ,
 "2D" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture07" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Worksheets/worksheet07.pdf" ,
 "Peter Norvig" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Slides/slides02.pdf" ,
 "Microsoft Tay" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture01" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Slides/slides01.pdf" ,
 "YAGO" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Slides/slides02.pdf" ,
 "Unsupervised" , "http://focu.io/data#courseID_040353" , "http://focu.io/data#040353_Lecture04" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP6721/Slides/slides04.pdf" ,
 "Unsupervised" , "http://focu.io/data#courseID_040353" , "http://focu.io/data#040353_Lecture07" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP6721/Slides/slides07.pdf" ,
 "Unsupervised" , "http://focu.io/data#courseID_040353" , "http://focu.io/data#040353_Lecture05" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP6721/Slides/slides05.pdf" ,
 "Unsupervised" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture07" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Slides/slides07.pdf" ,
 "Unsupervised learning" , "http://focu.io/data#courseID_040353" , "http://focu.io/data#040353_Lecture04" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP6721/Slides/slides04.pdf" ,
 "Unsupervised learning" , "http://focu.io/data#courseID_040353" , "http://focu.io/data#040353_Lecture07" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP6721/Slides/slides07.pdf" ,
 "Unsupervised learning" , "http://focu.io/data#courseID_040353" , "http://focu.io/data#040353_Lecture05" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP6721/Slides/slides05.pdf" ,
 "Unsupervised learning" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture07" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Slides/slides07.pdf" ,
 "VLSI" , "http://focu.io/data#courseID_040353" , "http://focu.io/data#040353_Lecture03" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP6721/Slides/slides03.pdf" ,
 "BRUTUS" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture06" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Slides/slides06.pdf" ,
 "IRI" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture04" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Slides/slides04.pdf" ,
 "IRI" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Slides/slides02.pdf" ,
 "IRI" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture03" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Slides/slides03.pdf" ,
 "IRI" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture05" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Slides/slides05.pdf" ,
 "IRI" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Worksheets/worksheet02.pdf" ,
